ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205051_s_at	0.5052273	2.07e-01	-1.2652269	-5.2112	-0.20413108	KIT	KIT proto-oncogene receptor tyrosine kinase
37424_at	0.5052273	2.07e-01	1.2652142	-5.21122	0.09884384	CCHCR1	coiled-coil alpha-helical rod protein 1
201391_at	0.5052273	2.07e-01	-1.2651954	-5.21124	-0.06791478	TRAP1	TNF receptor associated protein 1
211864_s_at	0.5052675	2.07e-01	-1.2650775	-5.21138	-0.15794415	MYOF	myoferlin
213969_x_at	0.5052675	2.07e-01	-1.2650227	-5.21144	-0.08327739	RPL29	ribosomal protein L29
202749_at	0.50527	2.07e-01	1.2649565	-5.21152	0.11020181	WRB	tryptophan rich basic protein
220050_at	0.5056298	2.07e-01	-1.2644521	-5.21212	-0.08908697	SPACA9	sperm acrosome associated 9
217526_at	0.5056298	2.07e-01	1.2643992	-5.21218	0.10387071	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein
208017_s_at	0.5056298	2.07e-01	1.264355	-5.21223	0.24327108	MCF2	MCF.2 cell line derived transforming sequence
203225_s_at	0.5056988	2.07e-01	1.2642128	-5.2124	0.08944042	RFK	riboflavin kinase
